  seconds  |     gc     |   consed   |  calls  |  sec/call  |  name
----------------------------------------------------------------------------------------------------------
     0.199 |      0.000 |     76,112 |   1,746 |   0.000114 | CEPL.HOST:HOST-SWAP
     0.087 |      0.000 |  1,343,184 |   1,746 |   0.000050 | CEPL.HOST:HOST-STEP
     0.031 |      0.000 |          0 |   1,746 |   0.000018 | CLEAR-FBO
     0.027 |      0.000 |          0 |  41,983 |   0.000001 | CL-OPENGL-BINDINGS:CHECK-ERROR
     0.026 |      0.000 |  7,069,920 |  18,432 |   0.000001 | CEPL.TYPES.PREDEFINED::G-PNT-FROM-FOREIGN
     0.016 |      0.000 |     65,536 |  26,686 |   0.000001 | CFFI::PARSE-TYPE
     0.015 |      0.000 |          0 |   6,992 |   0.000002 | CEPL.CONTEXT::SET-TEXTURE-BOUND-ID
     0.014 |      0.000 |          0 |   5,241 |   0.000003 | DRAW-FBO-BOUND
     0.013 |      0.000 |          0 |   3,492 |   0.000004 | CL-OPENGL-BINDINGS:ACTIVE-TEXTURE
     0.011 |      0.000 |          0 |   6,990 |   0.000002 | CEPL.VIEWPORTS::%SET-CURRENT-VIEWPORT
     0.010 |      0.000 |          0 |   6,990 |   0.000001 | CEPL.VIEWPORTS::%VIEWPORT
     0.009 |      0.000 |          0 |  20,482 |   0.000000 | CFFI::SIZE
     0.006 |      0.000 |          0 |   6,984 |   0.000001 | CL-OPENGL-BINDINGS:BIND-SAMPLER
     0.005 |      0.000 |          0 |   3,496 |   0.000001 | CL-OPENGL-BINDINGS:BIND-VERTEX-ARRAY
     0.004 |      0.000 |    720,880 |  11,382 |   0.000000 | POS
     0.004 |      0.000 |          0 |  12,288 |   0.000000 | CEPL.TYPES.PREDEFINED::POPULATE-G-PNT
     0.004 |      0.000 |          0 |      20 |   0.000200 | DIMENSIONS
     0.003 |      0.000 |          0 |   1,746 |   0.000002 | SHUTTING-DOWN-P
     0.003 |      0.000 |          0 |   1,746 |   0.000002 | %CEPL.TYPES:BUFFER-STREAM-START-BYTE
     0.003 |      0.000 |          0 |   3,492 |   0.000001 | CEPL.PIPELINES::UNIFORM-4F
     0.003 |      0.000 |          0 |   1,746 |   0.000001 | CL-OPENGL-BINDINGS:DRAW-BUFFERS
     0.003 |      0.000 |          0 |   1,746 |   0.000001 | CL-OPENGL-BINDINGS:UNIFORM-3FV
     0.003 |      0.000 |          0 |   1,749 |   0.000001 | CL-OPENGL-BINDINGS:UNIFORM-MATRIX-4FV
     0.002 |      0.000 |          0 |   5,245 |   0.000000 | CURRENT-VIEWPORT
     0.002 |      0.000 |          0 |   6,144 |   0.000000 | CEPL.TYPES.FOREIGN:USHORT-TO-FOREIGN
     0.002 |      0.000 |          0 |   6,186 |   0.000000 | CFFI::TYPE-KEYWORD
